seed_index,seed,n,t,trunc_bytes,hash_bits,pwd_length,successful_cracks,failed_cracks,total_time,success_rate,avg_time_per_crack,same,different,construction_time,notes,timestamp
1,123,500,100,5,40,10,0,100,0.7908592224121094,0.0,0.007908592224121094,0,0,0.0809171199798584,OK,2025-10-19 22:20:56
2,999,500,100,5,40,10,0,100,0.8091795444488525,0.0,0.008091795444488525,0,0,0.08057808876037598,OK,2025-10-19 22:20:57
0,1,500,100,6,48,5,0,100,0.6315677165985107,0.0,0.006315677165985107,0,0,0.06544232368469238,OK,2025-10-19 22:20:58
1,123,500,100,6,48,5,0,100,0.6465363502502441,0.0,0.006465363502502442,0,0,0.06647562980651855,OK,2025-10-19 22:20:58
2,999,500,100,6,48,5,1,99,0.6489565372467041,1.0,0.006489565372467041,1,0,0.06816887855529785,OK,2025-10-19 22:20:59
0,1,500,100,6,48,7,0,100,0.7229459285736084,0.0,0.007229459285736084,0,0,0.07553601264953613,OK,2025-10-19 22:21:00
1,123,500,100,6,48,7,0,100,0.7159812450408936,0.0,0.007159812450408936,0,0,0.07210874557495117,OK,2025-10-19 22:21:01
2,999,500,100,6,48,7,0,100,0.7112624645233154,0.0,0.007112624645233154,0,0,0.07262110710144043,OK,2025-10-19 22:21:01
0,1,500,100,6,48,10,0,100,0.8026199340820312,0.0,0.008026199340820312,0,0,0.08117341995239258,OK,2025-10-19 22:21:02
1,123,500,100,6,48,10,0,100,0.8138337135314941,0.0,0.008138337135314942,0,0,0.08239579200744629,OK,2025-10-19 22:21:03
2,999,500,100,6,48,10,0,100,0.8109345436096191,0.0,0.00810934543609619,0,0,0.08179306983947754,OK,2025-10-19 22:21:04
0,1,500,200,4,32,5,0,100,2.255035638809204,0.0,0.02255035638809204,0,0,0.11890292167663574,OK,2025-10-19 22:21:05
1,123,500,200,4,32,5,0,100,2.290764331817627,0.0,0.02290764331817627,0,0,0.11382150650024414,OK,2025-10-19 22:21:07
2,999,500,200,4,32,5,1,99,2.292304515838623,1.0,0.02292304515838623,1,0,0.11411190032958984,OK,2025-10-19 22:21:10
0,1,500,200,4,32,7,0,100,2.461733341217041,0.0,0.02461733341217041,0,0,0.12410235404968262,OK,2025-10-19 22:21:12
1,123,500,200,4,32,7,0,100,2.4753055572509766,0.0,0.024753055572509765,0,0,0.1233830451965332,OK,2025-10-19 22:21:15
2,999,500,200,4,32,7,0,100,2.473332643508911,0.0,0.02473332643508911,0,0,0.12820959091186523,OK,2025-10-19 22:21:17
0,1,500,200,4,32,10,0,100,2.90462589263916,0.0,0.0290462589263916,0,0,0.14492177963256836,OK,2025-10-19 22:21:20
1,123,500,200,4,32,10,0,100,2.846389055252075,0.0,0.028463890552520753,0,0,0.14107942581176758,OK,2025-10-19 22:21:23
2,999,500,200,4,32,10,0,100,2.8648719787597656,0.0,0.028648719787597657,0,0,0.14481496810913086,OK,2025-10-19 22:21:26
0,1,500,200,5,40,5,2,98,2.3531363010406494,2.0,0.023531363010406495,2,0,0.11808991432189941,OK,2025-10-19 22:21:29
1,123,500,200,5,40,5,3,97,2.418797016143799,3.0,0.024187970161437988,3,0,0.12093830108642578,OK,2025-10-19 22:21:31
2,999,500,200,5,40,5,3,97,2.33010196685791,3.0,0.0233010196685791,3,0,0.11895179748535156,OK,2025-10-19 22:21:34
0,1,500,200,5,40,7,0,100,2.6355299949645996,0.0,0.026355299949645996,0,0,0.13136076927185059,OK,2025-10-19 22:21:36
1,123,500,200,5,40,7,0,100,2.621516704559326,0.0,0.026215167045593263,0,0,0.13065695762634277,OK,2025-10-19 22:21:39
2,999,500,200,5,40,7,0,100,2.6084887981414795,0.0,0.026084887981414794,0,0,0.13263916969299316,OK,2025-10-19 22:21:42
0,1,500,200,5,40,10,0,100,2.971590518951416,0.0,0.02971590518951416,0,0,0.14819908142089844,OK,2025-10-19 22:21:45
1,123,500,200,5,40,10,0,100,2.925278663635254,0.0,0.02925278663635254,0,0,0.14665937423706055,OK,2025-10-19 22:21:48
2,999,500,200,5,40,10,0,100,2.9218571186065674,0.0,0.029218571186065675,0,0,0.14578461647033691,OK,2025-10-19 22:21:51
0,1,500,200,6,48,5,0,100,2.3581981658935547,0.0,0.023581981658935547,0,0,0.11833834648132324,OK,2025-10-19 22:21:54
1,123,500,200,6,48,5,1,99,2.3694286346435547,1.0,0.023694286346435545,1,0,0.11832952499389648,OK,2025-10-19 22:21:56
2,999,500,200,6,48,5,1,99,2.412269353866577,1.0,0.024122693538665772,1,0,0.11956238746643066,OK,2025-10-19 22:21:59
0,1,500,200,6,48,7,0,100,2.640805959701538,0.0,0.02640805959701538,0,0,0.13904929161071777,OK,2025-10-19 22:22:01
1,123,500,200,6,48,7,0,100,2.6259729862213135,0.0,0.026259729862213133,0,0,0.1319293975830078,OK,2025-10-19 22:22:04
2,999,500,200,6,48,7,0,100,2.6113312244415283,0.0,0.026113312244415283,0,0,0.13199853897094727,OK,2025-10-19 22:22:07
0,1,500,200,6,48,10,0,100,3.0323970317840576,0.0,0.030323970317840575,0,0,0.15065360069274902,OK,2025-10-19 22:22:10
1,123,500,200,6,48,10,0,100,2.996511459350586,0.0,0.02996511459350586,0,0,0.1508932113647461,OK,2025-10-19 22:22:13
2,999,500,200,6,48,10,0,100,3.00234055519104,0.0,0.0300234055519104,0,0,0.15119552612304688,OK,2025-10-19 22:22:16
0,1,500,300,4,32,5,0,100,5.115537405014038,0.0,0.05115537405014038,0,0,0.17447876930236816,OK,2025-10-19 22:22:19
1,123,500,300,4,32,5,3,97,5.013180255889893,3.0,0.05013180255889892,3,0,0.17079710960388184,OK,2025-10-19 22:22:24
2,999,500,300,4,32,5,1,99,4.99156379699707,1.0,0.0499156379699707,1,0,0.16692137718200684,OK,2025-10-19 22:22:30
0,1,500,300,4,32,7,0,100,5.644893646240234,0.0,0.056448936462402344,0,0,0.1867964267730713,OK,2025-10-19 22:22:35
1,123,500,300,4,32,7,0,100,5.575205564498901,0.0,0.055752055644989015,0,0,0.18514490127563477,OK,2025-10-19 22:22:41
2,999,500,300,4,32,7,0,100,5.656622648239136,0.0,0.05656622648239136,0,0,0.1904435157775879,OK,2025-10-19 22:22:46
0,1,500,300,4,32,10,0,100,6.541643381118774,0.0,0.06541643381118774,0,0,0.2189779281616211,OK,2025-10-19 22:22:52
1,123,500,300,4,32,10,0,100,6.813395261764526,0.0,0.06813395261764527,0,0,0.22391271591186523,OK,2025-10-19 22:22:59
2,999,500,300,4,32,10,0,100,6.314756870269775,0.0,0.06314756870269775,0,0,0.21224665641784668,OK,2025-10-19 22:23:06
